modified_ZCTA,neighborhood,borough,COVID_count,population,death_count
11364,Bayside (South)/Oakland Gardens,Queens,9443,35688.29,76
11365,Auburndale/Fresh Meadows/Pomonok/Utopia,Queens,12988,43815.08,154
11366,Fresh Meadows/Hillcrest,Queens,4051,14208.14,55
11367,Kew Gardens Hills/Pomonok,Queens,12982,40676.04,135
11368,Corona/North Corona,Queens,35513,110369.78,590
11369,Airport/East Elmhurst,Queens,13638,33627.74,247
11370,Jackson Heights/Rikers Island,Queens,10787,31777.34,107
11372,Jackson Heights,Queens,22536,60682.72,383
11373,Elmhurst,Queens,33321,91655.7,420
11374,Rego Park,Queens,14735,41393.74,197
11375,Forest Hills,Queens,20665,71266.52,350
11377,Woodside,Queens,31036,84048.11,361
11378,Maspeth,Queens,12631,36145.45,129
11379,Middle Village,Queens,12209,36636.49,208
11385,Glendale/Ridgewood,Queens,33944,103615.19,293
11411,Cambria Heights,Queens,5988,21378.1,83
11412,St. Albans,Queens,12307,38097.58,158
11413,Laurelton/Rosedale,Queens,12683,43206.88,187
11414,Hamilton Beach/Howard Beach/Lindenwood,Queens,10091,28358.4,157
11415,Kew Gardens,Queens,6199,18873.03,90
11416,Ozone Park,Queens,9624,26389.62,119
11417,Ozone Park,Queens,11340,31041.34,116
11418,Richmond Hill,Queens,12476,37585.6,162
11419,Richmond Hill/South Ozone Park,Queens,15707,48504.92,205
11420,South Ozone Park,Queens,15626,47835.06,206
11421,Woodhaven,Queens,15285,40049.5,190
11422,Rosedale,Queens,9889,32389.06,124
11423,Hollis/Holliswood,Queens,10110,31138.4,173
11426,Bellerose,Queens,6221,20163.58,70
11427,Bellerose/Hollis Hills/Holliswood,Queens,7414,23572.82,90
11428,Queens Village,Queens,6497,18580.92,96
11429,Queens Village,Queens,9015,32168.3,136
11432,Hillcrest/Jamaica Estates/Jamaica Hills,Queens,19260,60754.71,385
11433,Jamaica,Queens,11683,36521.92,175
11434,Airport/South Jamaica/Springfield Gardens/St. Albans,Queens,20428,66763.37,329
11435,Briarwood/Jamaica,Queens,18019,58415.04,266
11436,South Jamaica/South Ozone Park,Queens,6319,20042.54,80
11691,Edgemere/Far Rockaway,Queens,21854,66856.31,545
11692,Arverne/Edgemere,Queens,6192,21029.13,124
11693,Arverne/Broad Channel,Queens,3906,12672.14,51
11694,Belle Harbor-Neponsit/Rockaway Park,Queens,6933,20779.4,113
11697,Breezy Point,Queens,1713,3392.62,19
